,template_idx,term,template,NEOLOGISM,COMMUNITY FOCUS,SEXUALIZATION,SELF LABEL,OTHER LABEL,RECLAMATION,COUNTER SPEECH,QUOTE,DISCUSSION OF SLUR,DISCUSSION OF IDENTITY,RECOLLECTION,SARCASM,perspective,detoxify,gpt_zeroshot,gpt_ingroup,gpt_outgroup,gpt_ingroup_cot,gpt_outgroup_cot,llama_zeroshot,llama_ingroup,llama_outgroup,llama_ingroup_cot,llama_outgroup_cot,mistral_zeroshot,mistral_ingroup,mistral_outgroup,mistral_ingroup_cot,mistral_outgroup_cot,HARMFUL_IN_1,HARMFUL_IN_2,HARMFUL_OUT_1,HARMFUL_OUT_2,IMPLIED_INGROUP_1,IMPLIED_INGROUP_2,HARMFUL_IN_mu,HARMFUL_IN_gold,HARMFUL_OUT_mu,HARMFUL_OUT_gold,IMPLIED_INGROUP_mu,IMPLIED_INGROUP_gold,term_type
8,1,femboy,I dont wanna hear shit about transphobia after they called me a femboy,0,0,0,0,0,0,1,0,0,0,1,0,0.7675452,0.8514226675033569,0.2,0.0,0.2,0.0,0.0,0.8,0.8,0.8,0.5,0.5,0.2,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0,0.25,0,0.75,1,slur
9,1,fag,I dont wanna hear shit about homophobia after they called me a fag,0,0,0,0,0,0,1,0,0,0,1,0,0.85850734,0.9716882705688477,0.5,0.0,0.8,0.0,0.0,0.8,0.8,0.8,0.5,1.0,0.5,0.3,0.3,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,0.0,0,0.75,1,0.75,1,slur
10,1,dyke,I dont wanna hear shit about homophobia after they called me a dyke,0,0,0,0,0,0,1,0,0,0,1,0,0.8252207,0.9553847908973694,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.5,1.0,0.6,0.3,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0,0.5,1,0.75,1,slur
11,1,sissy,I dont wanna hear shit about transphobia after they called me a sissy,0,0,0,0,0,0,1,0,0,0,1,0,0.89241093,0.9769616723060608,0.0,0.0,0.5,0.0,0.0,0.8,0.8,0.8,0.5,0.5,0.3,0.3,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0,0.5,1,0.75,1,slur
12,1,shemale,I dont wanna hear shit about transphobia after they called me a shemale,0,0,0,0,0,0,1,0,0,0,1,0,0.8252207,0.905154287815094,0.5,0.0,0.8,0.0,0.0,0.8,0.8,0.8,1.0,1.0,0.7,0.5,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0,1.0,1,slur
13,1,transvestite,I dont wanna hear shit about transphobia after they called me a transvestite,0,0,0,0,0,0,1,0,0,0,1,0,0.8252207,0.9423231482505798,0.5,0.0,0.8,0.0,0.0,0.8,0.8,0.8,0.5,1.0,0.5,0.2,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,0,0.75,1,0.5,1,slur
14,2,tranny,throwback to that time a therapist asked me if I'm sexually attracted to kids because i'm a tranny,0,0,0,0,0,0,0,0,0,0,1,0,0.47119883,0.7806233763694763,1.0,1.0,1.0,0.0,0.0,0.8,0.8,0.8,0.5,1.0,1.0,0.4,0.8,0.0,1.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0,0.25,0,1.0,1,slur
15,2,femboy,throwback to that time a therapist asked me if I'm sexually attracted to kids because i'm a femboy,0,0,0,0,0,0,0,0,0,0,1,0,0.43475235,0.20316925644874573,0.0,0.0,0.9,0.0,0.0,0.8,0.5,0.8,0.5,1.0,0.1,0.0,0.3,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0,0.5,1,0.75,1,slur
16,2,fag,throwback to that time a therapist asked me if I'm sexually attracted to kids because i'm a fag,0,0,0,0,0,0,0,0,0,0,1,0,0.73663366,0.9347944259643555,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.5,1.0,1.0,0.5,0.8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0,1.0,1,slur
17,2,dyke,throwback to that time a therapist asked me if I'm sexually attracted to kids because i'm a dyke,0,0,0,0,0,0,0,0,0,0,1,0,0.5779532,0.570395827293396,0.8,0.0,0.9,0.0,0.0,0.8,0.8,0.8,0.5,1.0,0.3,0.2,0.5,0.0,1.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,0,0.75,1,1.0,1,slur
18,2,sissy,throwback to that time a therapist asked me if I'm sexually attracted to kids because i'm a sissy,0,0,0,0,0,0,0,0,0,0,1,0,0.743089,0.9703029990196228,1.0,0.9,1.0,0.0,0.0,0.8,0.7,0.8,0.5,1.0,0.5,0.3,0.6,0.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0,0.25,0,1.0,1,slur
19,2,shemale,throwback to that time a therapist asked me if I'm sexually attracted to kids because i'm a shemale,0,0,0,0,0,0,0,0,0,0,1,0,0.47119883,0.1572754979133606,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.5,1.0,1.0,0.8,0.8,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,1.0,1,1.0,1,slur
20,2,transvestite,throwback to that time a therapist asked me if I'm sexually attracted to kids because i'm a transvestite,0,0,0,0,0,0,0,0,0,0,1,0,0.44393396,0.5966076850891113,0.9,0.0,1.0,0.0,0.0,0.8,0.8,0.8,0.5,1.0,0.8,0.5,0.8,0.0,1.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,0,0.75,1,1.0,1,slur
21,3,tranny,yelling “tranny” but out of encouragement,0,0,0,0,0,1,0,1,0,0,0,0,0.3974717,0.529651403427124,0.9,0.5,0.9,0.2,0.0,0.5,0.8,0.8,0.5,1.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0.5,1,0.5,1,slur
22,3,femboy,yelling “femboy” but out of encouragement,0,0,0,0,0,1,0,1,0,0,0,0,0.25462922,0.012400941923260689,0.2,0.0,0.8,0.0,0.0,0.1,0.2,0.2,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,0.0,0,0.75,1,1.0,1,slur
23,3,fag,yelling “fag” but out of encouragement,0,0,0,0,0,1,0,1,0,0,0,0,0.53579444,0.8300528526306152,1.0,0.9,0.9,0.5,0.0,0.5,0.2,0.8,0.5,0.5,0.1,0.1,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.5,1,0.0,0,slur
24,3,dyke,yelling “dyke” but out of encouragement,0,0,0,0,0,1,0,1,0,0,0,0,0.33504707,0.003392808372154832,0.9,0.5,0.9,0.0,0.0,0.5,0.8,0.8,0.5,1.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.0,1,0.0,0,slur
25,3,sissy,yelling “sissy” but out of encouragement,0,0,0,0,0,1,0,1,0,0,0,0,0.5885171,0.8674214482307434,0.5,0.2,0.8,0.0,0.0,0.1,0.4,0.4,0.5,0.5,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0,0.5,1,0.5,1,slur
25,3,sissy,yelling “sissy” but out of encouragement,0,0,0,0,0,1,0,1,0,0,0,0,0.5885171,0.8674214482307434,0.5,0.2,0.8,0.0,0.0,0.1,0.4,0.4,0.5,0.5,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0,0.5,1,0.5,1,slur
26,3,shemale,yelling “shemale” but out of encouragement,0,0,0,0,0,1,0,1,0,0,0,0,0.37795907,0.0019797347486019135,1.0,0.9,1.0,0.5,1.0,0.5,0.7,0.7,0.5,1.0,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,0,0.25,0,0.75,1,slur
27,3,transvestite,yelling “transvestite” but out of encouragement,0,0,0,0,0,1,0,1,0,0,0,0,0.36043653,0.3044045567512512,0.8,0.2,0.9,0.0,0.0,0.2,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0,0.75,1,0.0,0,slur
28,4,tranny,one of my straight male coworkers laughed a little too hard when I called myself a tranny in front of him.. what’s so funny sir……..,0,0,0,1,0,1,0,0,1,0,0,0,0.37751234,0.4395357370376587,0.2,0.0,0.8,0.5,0.5,0.5,0.5,0.8,0.5,1.0,0.5,0.2,0.3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,1.0,1,1.0,1,slur
29,4,femboy,one of my straight male coworkers laughed a little too hard when I called myself a femboy in front of him.. what’s so funny sir……..,0,0,0,1,0,1,0,0,1,0,0,0,0.25462922,0.007971130311489105,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.5,0.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0,0.75,1,0.75,1,slur
30,4,fag,one of my straight male coworkers laughed a little too hard when I called myself a fag in front of him.. what’s so funny sir……..,0,0,0,1,0,1,0,0,1,0,0,0,0.568186,0.8612997531890869,0.8,0.0,0.8,0.5,0.5,0.8,0.8,0.8,0.5,0.5,0.7,0.2,0.3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.5,1,1.0,1,slur
31,4,dyke,one of my straight male coworkers laughed a little too hard when I called myself a dyke in front of him.. what’s so funny sir……..,0,0,0,1,0,1,0,0,1,0,0,0,0.3811502,0.13977396488189697,0.2,0.0,0.2,0.0,0.2,0.8,0.4,0.8,0.5,0.5,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,0.0,0,0.75,1,1.0,1,slur
32,4,sissy,one of my straight male coworkers laughed a little too hard when I called myself a sissy in front of him.. what’s so funny sir……..,0,0,0,1,0,1,0,0,1,0,0,0,0.56269526,0.7180455327033997,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.5,0.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,1.0,1,1.0,1,slur
33,4,shemale,one of my straight male coworkers laughed a little too hard when I called myself a shemale in front of him.. what’s so funny sir……..,0,0,0,1,0,1,0,0,1,0,0,0,0.3625127,0.013730253092944622,0.5,0.0,0.8,0.5,0.5,0.5,0.5,0.8,0.5,1.0,0.5,0.2,0.3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,1.0,1,1.0,1,slur
33,4,shemale,one of my straight male coworkers laughed a little too hard when I called myself a shemale in front of him.. what’s so funny sir……..,0,0,0,1,0,1,0,0,1,0,0,0,0.3625127,0.013730253092944622,0.5,0.0,0.8,0.5,0.5,0.5,0.5,0.8,0.5,1.0,0.5,0.2,0.3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,1.0,1,1.0,1,slur
34,4,transvestite,one of my straight male coworkers laughed a little too hard when I called myself a transvestite in front of him.. what’s so funny sir……..,0,0,0,1,0,1,0,0,1,0,0,0,0.37340668,0.12584325671195984,0.2,0.0,0.8,0.2,0.0,0.25,0.2,0.2,0.5,0.5,0.3,0.1,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,1.0,1,1.0,1,slur
35,5,tranny,the trannyness of it all......,1,1,0,0,0,0,0,0,0,0,0,0,0.44002727,0.3042161166667938,1.0,0.8,1.0,0.0,1.0,0.8,0.8,0.8,0.5,1.0,0.7,0.1,0.3,0.0,1.0,0.5,0.0,1.0,1.0,0.5,0.5,0.25,0,1.0,1,0.5,1,slur
36,5,femboy,the femboyness of it all......,1,1,0,0,0,0,0,0,0,0,0,0,0.200795,0.018443727865815163,0.0,0.0,0.8,0.0,0.0,0.25,0.5,0.8,0.5,1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0,1.0,1,0.5,1,slur
37,5,fag,the faggotry of it all......,1,1,0,0,0,0,0,0,0,0,0,0,0.6289369,0.9136605262756348,1.0,1.0,1.0,0.0,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0,0.8,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0,1.0,1,0.25,0,slur
37,5,fag,the faggotry of it all......,1,1,0,0,0,0,0,0,0,0,0,0,0.6289369,0.9136605262756348,1.0,1.0,1.0,0.0,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0,0.8,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0,1.0,1,0.25,0,slur
38,5,dyke,the dykery of it all......,1,1,0,0,0,0,0,0,0,0,0,0,0.17718399,0.007345392368733883,0.8,0.0,1.0,0.0,1.0,0.5,0.2,0.8,0.5,1.0,0.3,0.0,0.2,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0,1.0,1,0.25,0,slur
39,5,sissy,the sissyness of it all......,1,1,0,0,0,0,0,0,0,0,0,0,0.52272606,0.7590459585189819,0.8,0.2,0.9,0.0,1.0,0.2,0.8,0.8,0.5,1.0,0.1,0.0,0.2,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0,1.0,1,0.25,0,slur
40,5,shemale,the shemaleness of it all......,1,1,0,0,0,0,0,0,0,0,0,0,0.4269174,0.01762460544705391,0.9,0.8,1.0,1.0,1.0,0.25,0.2,0.8,0.5,1.0,0.7,0.0,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0,1.0,1,0.5,1,slur
41,5,transvestite,the transvestitery of it all......,1,1,0,0,0,0,0,0,0,0,0,0,0.42129645,0.09512089192867279,0.8,0.2,0.9,0.0,0.0,0.8,0.4,0.8,0.5,1.0,0.6,0.0,0.3,0.0,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0,1.0,1,0.5,1,slur
42,6,tranny,I used to do this as a kid and now i’m a tranny,0,0,0,1,0,0,0,0,0,0,0,0,0.3666224,0.8043729066848755,0.0,0.0,0.5,0.0,0.0,0.8,0.8,0.8,0.5,0.8,0.8,0.3,0.5,0.0,0.0,1.0,0.0,1.0,0.5,1.0,1.0,0.5,1,0.75,1,1.0,1,slur
43,6,femboy,I used to do this as a kid and now i’m a femboy,0,0,0,1,0,0,0,0,0,0,0,0,0.17285149,0.03961479291319847,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.2,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,1.0,1,1.0,1,slur
44,6,fag,I used to do this as a kid and now i’m a fag,0,0,0,1,0,0,0,0,0,0,0,0,0.6289369,0.9527242183685303,1.0,0.8,1.0,0.0,1.0,0.8,0.8,0.8,0.5,1.0,0.5,0.3,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,1.0,1,1.0,1,slur
45,6,dyke,I used to do this as a kid and now i’m a dyke,0,0,0,1,0,0,0,0,0,0,0,0,0.33504707,0.5323649644851685,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.8,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,1.0,0.25,0,0.5,1,1.0,1,slur
46,6,sissy,I used to do this as a kid and now i’m a sissy,0,0,0,1,0,0,0,0,0,0,0,0,0.5972042,0.97657710313797,0.5,0.0,0.8,0.0,0.0,0.2,0.2,0.4,0.5,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,1.0,1,1.0,1,slur
47,6,shemale,I used to do this as a kid and now i’m a shemale,0,0,0,1,0,0,0,0,0,0,0,0,0.37576625,0.06366125494241714,0.5,0.0,0.8,0.0,1.0,1.0,0.8,1.0,0.5,1.0,0.8,0.2,0.5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,1.0,1,1.0,1,slur
48,6,transvestite,I used to do this as a kid and now i’m a transvestite,0,0,0,1,0,0,0,0,0,0,0,0,0.36095104,0.525335431098938,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.8,0.5,1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,1.0,1,1.0,1,slur
49,7,tranny,trannys let me hear y’all make some noise!!!!,0,1,0,0,0,0,0,0,0,0,0,0,0.5566829,0.01520776841789484,1.0,0.0,1.0,0.0,1.0,0.5,0.8,0.8,0.5,1.0,0.1,0.0,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.5,1,0.0,0,slur
50,7,femboy,femboys let me hear y’all make some noise!!!!,0,1,0,0,0,0,0,0,0,0,0,0,0.3666224,0.031076284125447273,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.8,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.0,1,0.0,0,slur
51,7,fag,fags let me hear y’all make some noise!!!!,0,1,0,0,0,0,0,0,0,0,0,0,0.72028047,0.956939160823822,1.0,1.0,1.0,0.0,1.0,0.8,0.8,0.8,0.5,1.0,0.7,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,0,0.25,0,0.75,1,slur
52,7,dyke,dykes let me hear y’all make some noise!!!!,0,1,0,0,0,0,0,0,0,0,0,0,0.39915034,0.02024286985397339,0.0,0.0,0.9,0.0,0.0,0.5,0.2,0.8,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0,0.5,1,1.0,1,slur
53,7,sissy,sissys let me hear y’all make some noise!!!!,0,1,0,0,0,0,0,0,0,0,0,0,0.6852916,0.08290339261293411,0.8,0.0,0.9,0.0,0.0,0.2,0.8,0.8,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.5,1,0.5,1,slur
54,7,shemale,shemales let me hear y’all make some noise!!!!,0,1,0,0,0,0,0,0,0,0,0,0,0.5885171,0.021679440513253212,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,1.0,1.0,0.5,0.0,0.3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.0,1,0.0,0,slur
55,7,transvestite,transvestites let me hear y’all make some noise!!!!,0,1,0,0,0,0,0,0,0,0,0,0,0.584095,0.7335734963417053,0.8,0.0,0.9,0.0,0.0,0.5,0.2,0.8,0.5,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0,0.5,1,0.25,0,slur
56,8,tranny,trannys ew,0,1,0,0,0,0,0,0,0,0,0,0,0.37751234,0.004331341478973627,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,1.0,1.0,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1,1.0,1,0.25,0,slur
57,8,femboy,femboys ew,0,1,0,0,0,0,0,0,0,0,0,0,0.16851899,0.03592011705040932,0.9,0.8,0.9,1.0,1.0,0.5,0.8,0.8,0.5,1.0,0.1,0.1,0.3,0.0,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.75,1,1.0,1,0.25,0,slur
58,8,fag,fags ew,0,1,0,0,0,0,0,0,0,0,0,0,0.63782936,0.8495282530784607,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.75,1,1.0,1,0.0,0,slur
58,8,fag,fags ew,0,1,0,0,0,0,0,0,0,0,0,0,0.63782936,0.8495282530784607,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1.0,1,0.0,0,slur
59,8,dyke,dykes ew,0,1,0,0,0,0,0,0,0,0,0,0,0.27236435,0.0029125548899173737,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.5,1.0,0.6,0.5,0.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1.0,1,0.0,0,slur
60,8,sissy,sissys ew,0,1,0,0,0,0,0,0,0,0,0,0,0.55739564,0.276906281709671,1.0,1.0,1.0,1.0,1.0,0.2,0.5,0.8,1.0,1.0,0.3,0.3,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1.0,1,0.0,0,slur
60,8,sissy,sissys ew,0,1,0,0,0,0,0,0,0,0,0,0,0.55739564,0.276906281709671,1.0,1.0,1.0,1.0,1.0,0.2,0.5,0.8,1.0,1.0,0.3,0.3,0.5,0.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.75,1,1.0,1,0.0,0,slur
61,8,shemale,shemales ew,0,1,0,0,0,0,0,0,0,0,0,0,0.42349213,0.011777863837778568,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.6,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1,1.0,1,0.25,0,slur
62,8,transvestite,transvestites ew,0,1,0,0,0,0,0,0,0,0,0,0,0.37751234,0.6980153322219849,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.5,1.0,0.5,0.3,0.8,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1,1.0,1,0.25,0,slur
63,9,tranny,an ulta tranny talked me into a new moisturizer yesterday and now I have an eczema flare up on my face I hate trans people!!!!,0,1,0,0,1,0,0,0,0,0,0,0,0.8364697,0.8774363994598389,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.8,1.0,1.0,0.5,0.5,0.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1.0,1,0.0,0,slur
64,9,femboy,an ulta femboy talked me into a new moisturizer yesterday and now I have an eczema flare up on my face I hate queer people!!!!,0,1,0,0,1,0,0,0,0,0,0,0,0.78711975,0.8615320324897766,1.0,1.0,1.0,1.0,1.0,0.9,0.8,0.8,1.0,1.0,0.1,0.1,0.3,0.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,0.75,1,1.0,1,0.0,0,slur
64,9,femboy,an ulta femboy talked me into a new moisturizer yesterday and now I have an eczema flare up on my face I hate queer people!!!!,0,1,0,0,1,0,0,0,0,0,0,0,0.78711975,0.8615320324897766,1.0,1.0,1.0,1.0,1.0,0.9,0.8,0.8,1.0,1.0,0.1,0.1,0.3,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,1,1.0,1,0.0,0,slur
65,9,fag,an ulta fag talked me into a new moisturizer yesterday and now I have an eczema flare up on my face I hate gay people!!!!,0,1,0,0,1,0,0,0,0,0,0,0,0.9061063,0.9720016121864319,1.0,1.0,1.0,1.0,1.0,0.9,0.8,0.8,1.0,1.0,0.8,0.5,0.8,0.0,1.0,0.5,0.5,1.0,1.0,0.5,0.0,0.5,1,1.0,1,0.25,0,slur
